FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
56787.6846,28170.9284,54000.7353,42314.9318,36853.7307,39389.4911,5866.7958,50400.4955,44102.7135,55922.6274,609.4873,-610.4261,26122.3018
56769.3561,28165.0275,53997.2484,42297.1398,36827.8921,39377.1082,5860.6714,50381.8095,44091.0906,55914.4914,588.5661,-625.8935,26115.2387
56767.568,28162.6582,54000.2882,42295.754,36823.0194,39377.6894,5864.0242,50364.5986,44083.8486,55915.8325,581.0559,-627.5922,26116.401
56778.9674,28166.2345,54002.2999,42305.2311,36844.5218,39388.4182,5867.5557,50386.5927,44095.9185,55923.298,596.4786,-618.1151,26121.7654
56798.1899,28173.4318,54002.6128,42316.4964,36871.0756,39391.8604,5868.9862,50414.0854,44114.8281,55930.1823,611.5884,-604.8828,26127.0851
56791.4844,28173.3871,53998.4107,42313.3224,36862.269,39384.1714,5861.6549,50413.1913,44111.4306,55927.2319,608.5485,-607.6992,26125.8781
56771.0102,28168.9614,53993.6721,42301.2972,36834.9999,39375.9459,5855.4411,50398.3945,44093.1916,55919.8558,590.9801,-621.3337,26116.6245
56760.4601,28160.8701,53989.2912,42293.027,36818.4149,39367.6311,5853.3847,50373.897,44088.2742,55917.4418,577.8372,-632.5096,26113.0482
56767.0316,28161.4959,53990.6323,42299.9114,36830.4402,39377.2423,5857.5422,50392.8959,44104.6357,55919.9005,586.7779,-620.3055,26117.3844
56782.7225,28168.2462,53994.7003,42306.8851,36858.2457,39386.4959,5861.7443,50414.9795,44120.9525,55933.4904,604.1676,-607.2521,26122.6147
56782.8119,28170.079,53996.9802,42306.8404,36864.996,39382.1597,5860.2244,50411.9396,44112.1906,55928.3495,604.1229,-612.4824,26119.709
56758.7167,28157.2938,53990.5876,42294.0999,36839.5597,39371.0732,5853.3847,50389.2303,44098.7349,55918.2018,581.9947,-632.6884,26112.78
56744.054,28147.0567,53984.3291,42289.4508,36818.3702,39367.6311,5850.0767,50367.0126,44087.5143,55909.6634,568.1366,-643.1043,26108.4884
56754.7828,28150.0518,53985.3126,42295.754,36833.5694,39375.0966,5851.5072,50383.9105,44102.0429,55913.4632,581.5476,-629.3803,26112.9141
56768.9091,28157.115,53985.849,42308.9415,36854.8036,39383.0985,5853.8318,50416.2759,44115.901,55919.8111,598.8032,-617.2657,26115.1493
56769.3114,28162.9264,53991.3476,42314.7529,36858.1563,39384.4843,5857.5422,50418.7346,44117.0186,55923.9239,597.2832,-614.8517,26117.1162
56767.7021,28161.5406,53997.5166,42306.9298,36842.5995,39381.8468,5858.6597,50400.8979,44108.1673,55919.7217,585.9733,-624.463,26115.5963
56767.2551,28162.6582,53998.4107,42301.7889,36833.48,39385.9595,5861.8337,50386.6374,44106.7368,55919.1853,583.5146,-624.5524,26116.2668
56781.3814,28165.9216,53998.1425,42304.9629,36855.2953,39395.8837,5864.6053,50406.6646,44117.3762,55924.6838,589.5942,-616.9081,26123.0171
56801.8109,28177.008,54001.7188,42323.0678,36879.167,39413.7204,5870.8191,50432.5032,44137.001,55934.2504,606.9839,-599.7419,26129.9461
56803.5096,28177.1421,54006.055,42328.3428,36878.1388,39413.1392,5878.0611,50445.5566,44145.2712,55935.9491,617.221,-595.3163,26132.4495
56777.4922,28170.1684,54001.0929,42317.0775,36853.7307,39406.2102,5873.7695,50426.1553,44133.693,55930.0482,604.5699,-608.5932,26126.5486
56762.4718,28164.6699,53999.7071,42308.5392,36836.8328,39398.5659,5868.4051,50415.5606,44119.2538,55928.7965,589.7284,-616.9975,26123.3747
56777.1792,28169.1849,53999.3495,42313.3224,36854.893,39398.3424,5868.1369,50429.4187,44125.6016,55930.4953,594.2434,-605.8216,26125.7887
56784.1977,28171.2413,53994.0298,42314.1718,36866.0241,39403.975,5865.9911,50453.4692,44137.4928,55930.7188,604.0335,-597.4174,26125.1181
56778.3862,28161.5853,53990.4982,42305.9016,36854.6247,39397.1354,5857.4975,50446.6742,44134.4082,55927.6789,595.0034,-608.325,26118.9491
56762.1142,28151.7059,53996.6226,42303.5324,36840.4984,39389.9828,5854.3235,50423.6966,44126.0934,55930.3612,583.604,-620.4396,26117.6974
56746.7809,28146.7885,53992.1522,42298.7938,36824.0476,39387.0324,5853.3847,50409.615,44114.9175,55921.5099,572.3387,-631.0344,26111.0812
56765.7799,28157.3385,53994.9238,42306.9298,36843.4489,39394.9896,5858.3021,50429.9551,44127.5239,55928.2154,588.7896,-616.9528,26118.7702
56793.3172,28167.1286,54003.5516,42319.5362,36867.3205,39404.6456,5861.8337,50462.4546,44151.0826,55939.6148,602.8712,-601.6642,26126.7722
56789.9197,28167.4862,54003.1046,42319.0445,36860.5256,39410.5911,5864.9629,50468.0425,44147.864,55939.9724,598.1773,-604.1229,26124.8052
56777.4922,28159.6184,54002.0317,42313.7248,36848.8133,39406.0314,5864.9629,50442.2486,44130.7873,55937.916,587.8061,-616.4163,26122.3018
56771.6807,28157.7855,54004.5351,42312.2048,36840.2302,39402.6339,5866.7958,50432.7267,44122.1595,55934.3845,584.2745,-621.736,26120.6478
56795.5524,28162.39,54006.9044,42322.576,36865.3089,39415.732,5870.5956,50451.5916,44137.9398,55940.4641,600.3678,-608.3697,26126.6381
56815.2219,28171.286,54009.1842,42335.2718,36888.4653,39424.2704,5872.6519,50477.6537,44152.8708,55947.125,615.6564,-593.2599,26129.5438
56809.0975,28174.594,54010.1677,42334.4672,36882.0727,39421.2753,5871.3108,50473.6304,44142.8125,55944.6216,609.2638,-597.9985,26125.4311
56787.014,28167.3968,54009.1395,42321.4138,36851.719,39414.3015,5868.8521,50447.2107,44126.451,55938.4972,591.3377,-612.6165,26118.1891
56771.3231,28158.6796,54005.1162,42308.8521,36826.6851,39405.3608,5865.0523,50432.4138,44114.2023,55932.8198,581.7711,-624.1053,26113.0929
56791.4844,28161.3618,54006.1444,42313.9036,36848.5451,39406.9701,5864.1136,50444.5732,44123.6347,55934.608,594.1093,-614.8517,26118.5914
56809.7234,28165.8322,54005.608,42321.0114,36879.9269,39413.5416,5863.443,50466.8355,44140.9796,55946.0968,606.671,-599.5184,26124.6264
