FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
57411.924,28676.3459,54455.1462,42988.7474,37153.4228,39894.4169,5737.2898,50255.7904,43605.4766,55838.6296,1191.7055,-306.9341,26649.2665
57430.2971,28682.4703,54454.2074,42999.1633,37173.5841,39895.3557,5740.9108,50275.2364,43619.0218,55845.6033,1205.0718,-298.3958,26651.457
57426.4526,28684.1244,54448.6642,42997.4198,37169.7843,39892.0923,5737.3792,50263.7029,43610.0811,55840.6413,1202.8366,-302.6873,26649.043
57408.3477,28678.3129,54448.3066,42981.2372,37147.522,39884.0457,5737.7815,50240.4571,43592.3785,55838.6743,1186.0281,-315.6513,26646.5396
57404.7714,28678.4023,54448.843,42984.3664,37142.7387,39892.897,5742.3413,50240.5912,43594.1219,55845.8269,1183.9271,-313.1926,26650.697
57426.542,28688.6841,54449.1559,43000.102,37169.6502,39904.6987,5745.9623,50266.5639,43612.2268,55852.5324,1209.1845,-296.25,26658.4307
57442.0542,28688.6841,54447.1443,43007.4334,37193.343,39906.621,5747.7057,50278.8126,43625.325,55858.0309,1226.1271,-286.4599,26662.5434
57433.0688,28679.207,54443.3892,43001.9796,37188.6492,39903.4917,5744.6659,50277.1586,43617.2783,55852.0406,1216.8735,-295.9818,26659.7271
57414.0698,28666.9582,54438.74,42986.3781,37158.832,39892.9864,5739.1226,50253.2423,43605.2084,55844.9775,1194.1642,-312.2985,26652.7086
57412.1922,28664.9466,54446.1161,42980.3431,37142.247,39895.5792,5737.8262,50235.8973,43600.6933,55843.1894,1184.9105,-316.3666,26650.3394
57431.1465,28676.9271,54450.5417,42987.7192,37155.8815,39899.1108,5743.8612,50262.0488,43614.462,55853.8735,1197.2934,-301.2568,26655.0779
57441.7859,28679.8328,54446.6525,42996.4364,37175.2828,39902.0165,5746.9457,50282.8807,43631.3152,55856.9133,1204.6695,-290.7068,26656.732
57429.3137,28674.8707,54445.8032,42996.8387,37171.0807,39898.9767,5744.1294,50276.7116,43622.0616,55853.2029,1196.757,-301.6144,26649.2665
57404.682,28666.243,54444.5962,42980.7007,37146.8067,39890.036,5738.2286,50255.1645,43604.0908,55841.9377,1176.3722,-318.8699,26639.834
57397.753,28665.6618,54439.4106,42972.4753,37130.8029,39881.4976,5731.5677,50244.391,43593.2279,55835.411,1163.9893,-327.4977,26635.6319
57414.1145,28670.0875,54435.9237,42982.0865,37158.0273,39884.1351,5730.6737,50272.0624,43598.9499,55841.5353,1178.7862,-319.9875,26639.2082
57434.0969,28677.5529,54440.9305,42996.9728,37178.725,39898.8426,5734.2947,50304.1148,43619.3794,55852.4877,1199.6627,-305.2354,26648.3724
57432.7558,28678.5811,54439.3659,42998.5821,37173.4947,39896.3392,5736.0381,50300.6279,43620.3182,55846.6315,1194.2983,-304.5648,26646.3161
57410.4935,28670.5345,54436.7731,42991.8319,37147.6561,39890.8406,5733.6241,50275.7281,43617.2336,55841.4459,1180.8872,-314.8019,26645.869
57391.8074,28666.6006,54440.2599,42984.9923,37134.6474,39896.3839,5734.6523,50271.1236,43616.6078,55842.1165,1179.4567,-317.7077,26650.7417
57410.3594,28673.9767,54445.1773,42993.933,37160.7095,39902.1506,5738.0497,50293.7883,43633.1481,55850.3419,1196.6676,-304.9672,26658.8777
57429.716,28671.8756,54442.7186,43003.723,37182.4801,39909.8843,5738.9438,50309.1216,43639.0489,55853.3818,1208.7375,-291.7349,26663.214
57428.5984,28668.7911,54437.5777,43004.5724,37177.2498,39909.2138,5738.8097,50313.279,43640.0324,55858.5674,1206.0106,-297.7699,26660.9341
57403.1174,28666.4218,54437.3989,42982.8912,37144.5268,39898.5296,5732.9535,50288.4686,43627.0684,55846.2292,1181.5578,-318.8252,26650.2947
57393.2827,28664.5442,54434.6273,42978.9126,37132.6804,39894.3275,5728.9302,50267.6368,43615.5796,55834.7404,1169.7561,-329.1965,26641.1752
57415.0085,28675.2284,54438.4271,42994.6035,37160.8883,39900.7201,5734.0264,50291.5978,43629.84,55843.9493,1192.1525,-312.2091,26646.0925
57427.7937,28678.8046,54438.9188,42999.4315,37178.0992,39903.9388,5731.9254,50313.4578,43638.1996,55845.5586,1200.7803,-307.7388,26644.0362
57427.7043,28677.4635,54440.394,42997.9116,37168.9349,39907.9621,5731.836,50310.3733,43631.807,55844.6199,1190.7667,-316.8583,26640.8175
57416.1708,28671.8309,54446.5631,42990.8484,37148.416,39899.0214,5729.6902,50284.2218,43616.2502,55835.9027,1170.6054,-330.4929,26634.9167
57413.6227,28671.8756,54454.9674,42984.7687,37139.2518,39895.5792,5734.1605,50279.9749,43612.7633,55832.3264,1162.2906,-328.4812,26633.0391
57433.9181,28678.1341,54457.2473,42995.8999,37160.7095,39909.3926,5741.0896,50302.5502,43636.0985,55843.5023,1183.1671,-309.9293,26638.2694
57449.162,28681.2186,54458.2307,43008.9086,37181.6307,39921.0155,5744.7106,50337.8212,43653.667,55854.4993,1201.9873,-292.8525,26648.8642
57440.1766,28682.4703,54459.0354,43010.6968,37179.6191,39919.2274,5748.3763,50336.7484,43657.3327,55861.1155,1206.3235,-289.0527,26658.0731
57418.853,28675.8095,54454.3862,43003.9018,37156.9991,39909.9737,5746.454,50307.7358,43646.1568,55855.2593,1196.444,-302.6426,26660.3976
57411.0746,28671.5627,54451.3464,42997.3304,37146.2703,39909.7502,5744.8,50294.9059,43644.6816,55846.7656,1194.0747,-306.4871,26662.5881
57427.3914,28671.6074,54446.9655,43005.7794,37166.6551,39914.9805,5742.1178,50310.3286,43657.1538,55852.0406,1212.582,-288.5163,26666.9244
57440.0872,28674.1108,54443.5233,43010.7415,37184.5365,39910.9572,5735.2781,50337.6871,43663.3229,55854.9017,1224.2496,-287.4881,26662.8563
57436.1086,28673.2614,54441.7799,43005.8241,37180.7367,39903.4023,5732.283,50334.7367,43650.9848,55851.9512,1212.0456,-297.2335,26656.1955
57413.891,28667.6735,54438.74,42995.1847,37154.2275,39898.3508,5729.5114,50311.4015,43628.5436,55835.0086,1191.5714,-313.5502,26647.7019
57401.9104,28670.4004,54444.1044,42989.5967,37142.9175,39900.0496,5728.9749,50306.3053,43629.1695,55834.7851,1181.9601,-319.317,26645.2432
57417.6461,28671.1156,54444.5068,42991.4743,37160.8883,39903.8941,5730.0031,50316.7659,43641.6864,55846.5421,1190.3197,-308.9905,26644.0809
57439.9084,28675.6307,54447.0996,42999.0739,37185.7882,39907.828,5734.9205,50345.8232,43647.5426,55854.5887,1202.3449,-304.8331,26647.076
57434.2757,28679.6987,54442.9421,42989.3285,37180.5578,39901.9271,5730.8078,50344.795,43638.9148,55853.7394,1192.0631,-314.7125,26640.7728
57411.7005,28667.6288,54439.3659,42975.0681,37143.7669,39886.9067,5724.4599,50315.3801,43625.5932,55841.2671,1166.5821,-331.4316,26632.4133
57404.2797,28662.4879,54444.7303,42974.0399,37129.9982,39891.0642,5724.147,50304.0254,43621.7487,55836.9309,1158.1331,-334.9185,26631.251
57424.0386,28671.9203,54445.1773,42983.7853,37151.8582,39896.965,5728.3044,50327.8971,43631.6729,55843.0105,1174.9417,-320.5687,26633.0391
57447.1056,28677.7318,54441.2881,42995.7211,37172.9136,39902.8212,5727.9021,50344.8397,43649.9119,55850.3419,1184.687,-311.9856,26638.4035
57439.2378,28675.2731,54438.8294,42992.2789,37167.7727,39902.0612,5727.008,50338.0448,43641.15,55842.4294,1177.0874,-319.317,26640.5493
57413.7568,28670.6239,54438.6506,42980.969,37142.4258,39896.0263,5727.2315,50320.0293,43623.8497,55836.7074,1163.5423,-332.1022,26637.8671
57399.1835,28661.9067,54440.7517,42971.5812,37128.4336,39892.7629,5722.8059,50309.971,43618.2618,55837.512,1155.6745,-338.1371,26635.3637
57409.8229,28665.4383,54439.4106,42984.5899,37145.1974,39898.3508,5721.1965,50330.2217,43633.9527,55840.9095,1167.9232,-326.0225,26639.1635
57428.4196,28666.6453,54433.018,42986.1099,37162.7212,39903.9388,5719.1849,50341.934,43646.425,55841.8483,1176.3275,-324.9049,26635.9448
57424.0386,28658.4646,54430.7381,42983.1147,37157.9379,39896.2945,5713.5969,50334.0662,43637.8866,55835.0533,1171.6783,-331.1634,26629.0158
57403.2068,28646.5734,54430.8722,42977.348,37136.2567,39891.8241,5715.8321,50320.6551,43623.7156,55831.3429,1159.7872,-339.4336,26626.7359
57395.8755,28645.3664,54431.0957,42974.5317,37123.248,39889.1419,5716.5027,50313.5026,43621.5699,55830.3595,1156.4344,-344.038,26626.7359
57412.5946,28653.9942,54432.7945,42985.6181,37144.6162,39896.1157,5717.8885,50337.3742,43634.9809,55834.4275,1172.5277,-329.5094,26630.044
57427.3914,28659.8057,54435.9237,42995.8552,37163.347,39902.0165,5719.0061,50357.4014,43653.667,55842.6529,1194.343,-312.1197,26634.1567
57423.0999,28664.6783,54440.7517,42997.7328,37169.0243,39911.6725,5725.801,50359.5024,43650.5824,55848.062,1198.5451,-310.5104,26637.2412
57410.0465,28660.3421,54441.7351,42993.2177,37154.8086,39909.7949,5729.4667,50346.1361,43637.8866,55843.0552,1187.1904,-320.9263,26637.5095
57397.7977,28651.0885,54437.9801,42991.0272,37144.7504,39906.4422,5727.5891,50331.6075,43636.9032,55837.7802,1179.3673,-325.4861,26638.4482
