User;Gain;HeadSet;Rates Hz;Date;Start;MAC
;24;16;250.0;20241203;03:23:26 064 PM;0c:dc:7e:cb:72:aa
tpsLocalPC;tps;Fp1;Fp2;F3;Fz;F4;C1;Cz;C2;P3;Pz;P4;O1;Oz;O2;T3;T4;Marker;Tps_Marker;Marker_int
1733235806.06;2097600;-34645.5798;-32568.6783;-26237.7262;-33954.7545;-20759.4037;-36600.9548;-31949.6021;-30946.0759;-14275.8116;-17931.4613;-11486.3142;-17578.572;-16958.1771;-17020.3373;-30213.0282;-42956.6503;N;0.0;0
1733235806.064;2097604;-34635.5438;-32562.6209;-26203.6845;-33899.6798;-20741.947;-36584.5263;-31931.1395;-30933.3578;-14236.4725;-17914.4964;-11472.9255;-17555.4827;-16918.9721;-17014.5705;-30201.9864;-42947.3743;N;0.0;0
1733235806.068;2097608;-34624.9938;-32550.104;-26184.0597;-33885.397;-20734.1686;-36576.1444;-31925.1269;-30927.591;-14237.0537;-17914.3846;-11476.703;-17561.0706;-16963.0945;-17026.8193;-30189.693;-42940.2441;N;0.0;0
1733235806.072;2097612;-34613.5944;-32528.5792;-26185.9149;-33908.4864;-20727.776;-36570.4;-31920.5448;-30913.9565;-14255.7397;-17912.9541;-11474.3561;-17568.9608;-17009.2508;-17026.1934;-30178.6289;-42924.6426;N;0.0;0
1733235806.077;2097616;-34610.6887;-32530.1439;-26201.9858;-33932.8945;-20728.2677;-36571.0706;-31920.7907;-30909.1061;-14270.8495;-17912.0377;-11468.0305;-17570.2795;-16994.901;-17017.8786;-30179.5229;-42921.8709;N;0.0;0
1733235806.081;2097620;-34605.9725;-32522.8795;-26189.8041;-33901.535;-20710.1628;-36557.7713;-31907.8714;-30898.1538;-14244.4521;-17894.0669;-11446.3493;-17546.989;-16924.873;-16993.1799;-30172.1469;-42914.4278;N;0.0;0
1733235806.085;2097624;-34604.6537;-32521.6278;-26167.9888;-33858.1726;-20703.1444;-36549.2553;-31897.4108;-30897.6844;-14210.4775;-17886.1767;-11443.533;-17535.612;-16900.9119;-16989.0448;-30169.6882;-42915.836;N;0.0;0
1733235806.089;2097628;-34615.2708;-32529.7192;-26168.8381;-33864.2523;-20719.7741;-36554.2173;-31901.5011;-30906.7369;-14214.7243;-17895.8103;-11459.6263;-17547.6596;-16948.1859;-17008.692;-30173.8232;-42924.8884;N;0.0;0
1733235806.091;2097632;-34605.1008;-32524.3324;-26176.9518;-33896.8188;-20723.0598;-36551.6692;-31902.7975;-30899.4725;-14232.8739;-17897.9784;-11461.6826;-17556.0638;-16996.1527;-17013.6765;-30164.0108;-42919.3005;N;0.0;0
1733235806.095;2097636;-34598.1494;-32527.037;-26192.0169;-33919.8634;-20719.64;-36553.748;-31909.3466;-30898.9584;-14247.2014;-17896.2797;-11457.324;-17559.1484;-16977.8243;-17004.7358;-30159.4064;-42917.7135;N;0.0;0
1733235806.099;2097640;-34603.8491;-32533.8319;-26192.0169;-33905.223;-20715.2367;-36556.989;-31908.7431;-30904.7252;-14236.0926;-17891.3847;-11454.1948;-17548.2631;-16925.2306;-16992.9564;-30163.8097;-42922.4297;N;0.0;0
1733235806.103;2097644;-34604.4749;-32537.1847;-26168.9946;-33865.571;-20706.4748;-36554.7538;-31902.5069;-30905.2393;-14211.7962;-17887.9425;-11454.7759;-17541.9599;-16906.1646;-16998.0302;-30166.7377;-42923.5026;N;0.0;0
1733235806.106;2097648;-34609.0123;-32530.0768;-26159.5622;-33862.6876;-20713.0685;-36554.642;-31900.54;-30904.7922;-14215.1713;-17895.5197;-11465.6836;-17548.7772;-16956.7913;-17021.4996;-30168.4141;-42926.1625;N;0.0;0
1733235806.11;2097652;-34611.4039;-32527.3499;-26170.5145;-33896.6176;-20722.7916;-36549.0541;-31900.1153;-30901.6407;-14235.5114;-17897.3973;-11471.6291;-17559.7295;-17000.5113;-17025.6123;-30165.039;-42922.8544;N;0.0;0
1733235806.114;2097656;-34605.5031;-32532.6249;-26188.0606;-33926.3007;-20724.8926;-36552.3398;-31905.9268;-30905.3957;-14253.4822;-17898.2913;-11463.5378;-17566.2562;-16983.0769;-17016.0457;-30164.3908;-42926.9671;N;0.0;0
1733235806.118;2097660;-34600.0046;-32524.5783;-26178.5164;-33901.602;-20714.3426;-36545.9248;-31893.6333;-30897.4385;-14231.734;-17887.0261;-11447.6457;-17547.1902;-16926.4376;-17004.1546;-30157.7747;-42920.7534;N;0.0;0
1733235806.121;2097664;-34598.7976;-32517.9175;-26154.7565;-33855.3116;-20700.0375;-36538.9735;-31881.6081;-30888.319;-14199.7486;-17876.9678;-11439.5544;-17535.8579;-16897.1345;-16993.6717;-30154.1537;-42911.3656;N;0.0;0
1733235806.125;2097668;-34597.5682;-32513.2012;-26146.3746;-33845.7227;-20698.8305;-36533.2738;-31879.1494;-30883.2228;-14195.8147;-17876.4984;-11438.4368;-17534.9861;-16923.1966;-16989.5813;-30151.6727;-42905.2189;N;0.0;0
1733235806.129;2097672;-34611.5381;-32534.9048;-26186.1607;-33904.9324;-20729.43;-36557.6372;-31910.1065;-30904.457;-14242.1499;-17903.1417;-11461.8838;-17563.6634;-16987.7261;-17008.8261;-30179.7464;-42923.3238;N;0.0;0
1733235806.133;2097676;-34632.9957;-32555.446;-26230.6854;-33957.1014;-20754.7098;-36589.8907;-31944.0141;-30930.0274;-14286.451;-17930.9472;-11484.5932;-17593.056;-17005.4063;-17026.2158;-30207.0156;-42942.2781;N;0.0;0
1733235806.137;2097680;-34632.1464;-32552.4285;-26222.6164;-33931.531;-20745.2327;-36589.7343;-31941.9354;-30929.0439;-14273.0847;-17928.0192;-11477.8206;-17585.5905;-16956.3442;-17017.7668;-30208.1779;-42944.4462;N;0.0;0
1733235806.141;2097684;-34629.9335;-32551.6462;-26191.9722;-33881.2843;-20730.8829;-36579.4078;-31925.1493;-30920.5502;-14241.7252;-17917.2456;-11472.1656;-17570.6372;-16924.426;-17015.107;-30203.2828;-42941.8534;N;0.0;0
1733235806.145;2097688;-34624.1221;-32551.1992;-26183.0762;-33875.7634;-20735.9344;-36582.1347;-31923.4058;-30924.6853;-14249.8165;-17925.2252;-11486.0907;-17587.5351;-16979.4783;-17036.7211;-30201.2041;-42944.7144;N;0.0;0
1733235806.149;2097692;-34606.0619;-32532.7367;-26184.395;-33902.809;-20729.7653;-36573.0375;-31918.6673;-30913.6212;-14269.9108;-17923.75;-11484.9508;-17595.8499;-17030.0379;-17041.9067;-30186.832;-42930.1634;N;0.0;0
1733235806.151;2097696;-34603.2232;-32521.9184;-26193.0898;-33923.4844;-20720.3105;-36563.1133;-31909.9501;-30903.6076;-14269.1731;-17908.7073;-11468.7234;-17580.5837;-16994.2975;-17024.4724;-30175.6784;-42923.5026;N;0.0;0
1733235806.155;2097700;-34599.9599;-32524.1759;-26186.6525;-33906.05;-20717.4942;-36556.6313;-31903.5128;-30902.7582;-14246.9779;-17895.9668;-11456.4076;-17564.2893;-16935.9595;-17011.6201;-30171.074;-42928.2412;N;0.0;0
1733235806.159;2097704;-34592.1367;-32518.1857;-26161.1938;-33859.6478;-20706.5865;-36548.3835;-31892.6051;-30900.8807;-14218.7029;-17888.5683;-11452.1608;-17549.2242;-16909.2268;-17006.8592;-30168.0118;-42924.2626;N;0.0;0
1733235806.163;2097708;-34593.9249;-32516.174;-26155.0248;-33849.8801;-20709.4923;-36547.4895;-31891.9569;-30899.9196;-14219.3735;-17893.1952;-11459.9392;-17552.5546;-16954.5114;-17018.1915;-30169.4646;-42922.385;N;0.0;0
1733235806.166;2097712;-34605.0337;-32523.2148;-26177.0636;-33890.8285;-20719.8411;-36554.8432;-31902.3505;-30900.7466;-14243.0216;-17899.9901;-11466.2647;-17565.6974;-17001.2265;-17024.2712;-30174.6055;-42922.9885;N;0.0;0
1733235806.17;2097716;-34605.436;-32515.9058;-26194.3415;-33916.0413;-20714.7896;-36557.6819;-31906.7314;-30895.1363;-14254.0857;-17892.5022;-11456.4076;-17562.4117;-16981.0429;-17005.384;-30174.2703;-42916.3724;N;0.0;0
1733235806.174;2097720;-34609.6158;-32526.1205;-26194.0286;-33901.0209;-20709.157;-36560.9005;-31906.575;-30897.7738;-14235.802;-17887.3613;-11446.9305;-17549.8948;-16914.0771;-16987.4802;-30179.7912;-42916.0595;N;0.0;0
1733235806.178;2097724;-34600.094;-32527.7075;-26166.0665;-33857.5915;-20700.1045;-36551.9822;-31897.0308;-30897.215;-14207.6835;-17881.7511;-11444.2259;-17537.9366;-16887.5903;-16986.3626;-30176.2596;-42916.8865;N;0.0;0
1733235806.196;2097728;-34601.1221;-32526.3441;-26159.9645;-33857.435;-20710.7216;-36552.3398;-31900.5623;-30905.0381;-14219.5523;-17893.8434;-11455.223;-17546.8996;-16934.7972;-17006.4569;-30178.2936;-42925.7825;N;0.0;0
1733235806.2;2097732;-34601.5915;-32529.0039;-26183.4785;-33898.0034;-20728.6254;-36563.8286;-31916.1415;-30912.4589;-14251.2694;-17904.6616;-11467.8741;-17561.8976;-16994.9234;-17025.6793;-30181.7581;-42929.6717;N;0.0;0
1733235806.204;2097736;-34596.1154;-32527.3275;-26201.5164;-33924.5796;-20728.3795;-36565.6614;-31921.4612;-30912.1683;-14265.0828;-17903.097;-11463.9178;-17561.4059;-16989.0672;-17023.6677;-30173.1974;-42926.0731;N;0.0;0
1733235806.208;2097740;-34595.8471;-32519.1021;-26193.3133;-33899.3222;-20707.9723;-36559.8723;-31913.6158;-30906.8933;-14243.0887;-17889.8424;-11448.0928;-17547.9054;-16920.9614;-17003.8193;-30165.3519;-42918.2947;N;0.0;0
1733235806.201;2097744;-34582.4137;-32502.8524;-26162.5797;-33844.6721;-20686.6935;-36544.1814;-31894.8179;-30893.1246;-14201.5368;-17873.0339;-11433.4971;-17523.1621;-16875.7886;-16981.4005;-30153.6173;-42904.8166;N;0.0;0
1733235806.205;2097748;-34573.9648;-32498.1809;-26151.3367;-33836.1114;-20686.6935;-36536.6265;-31888.6042;-30886.665;-14193.6243;-17869.3682;-11435.397;-17515.3166;-16912.1101;-16985.7144;-30142.3967;-42897.1723;N;0.0;0
1733235806.209;2097752;-34589.3428;-32512.5977;-26182.0704;-33891.1191;-20710.2746;-36556.4078;-31912.5652;-30903.6747;-14236.2937;-17892.6364;-11454.7312;-17547.5925;-16975.2762;-17009.072;-30160.0322;-42909.421;N;0.0;0
1733235806.213;2097756;-34613.7062;-32537.0729;-26221.8118;-33949.1889;-20739.3095;-36588.1473;-31945.4446;-30929.8709;-14280.6172;-17918.6985;-11478.4241;-17577.4321;-16990.8106;-17025.21;-30188.8436;-42933.4939;N;0.0;0
1733235806.224;2097760;-34625.0832;-32543.9572;-26223.7787;-33932.2016;-20735.3085;-36593.3329;-31944.8188;-30931.9943;-14272.1236;-17919.1008;-11475.3172;-17571.2854;-16949.2587;-17017.0739;-30194.7445;-42939.283;N;0.0;0
1733235806.228;2097764;-34627.8548;-32546.6394;-26206.1879;-33890.4932;-20728.156;-36591.2318;-31939.6332;-30932.2178;-14248.1625;-17915.8375;-11474.289;-17568.6702;-16926.147;-17018.1021;-30191.3247;-42941.8087;N;0.0;0
1733235806.232;2097768;-34618.7577;-32542.5044;-26197.046;-33884.9276;-20726.6137;-36586.9179;-31934.5593;-30928.0604;-14244.4074;-17919.7937;-11480.011;-17569.7207;-16968.5259;-17027.3781;-30186.452;-42939.6182;N;0.0;0
1733235806.236;2097772;-34616.7907;-32542.9067;-26213.7651;-33928.8041;-20738.4154;-36592.707;-31940.9966;-30932.1731;-14275.6552;-17930.0979;-11488.4824;-17584.3164;-17023.2877;-17045.0136;-30189.1789;-42940.1323;N;0.0;0
1733235806.23;2097776;-34614.0862;-32537.3635;-26225.9021;-33948.5407;-20735.5097;-36589.8237;-31938.605;-30927.0322;-14286.004;-17927.2369;-11475.2948;-17586.9986;-17003.4394;-17036.6764;-30187.0778;-42932.8009;N;0.0;0
1733235806.234;2097780;-34609.9064;-32529.8533;-26209.2724;-33916.3542;-20714.3649;-36574.5574;-31921.6624;-30914.2023;-14260.903;-17906.1368;-11455.6924;-17566.1668;-16933.2325;-17005.1605;-30181.6911;-42925.1119;N;0.0;0
1733235806.238;2097784;-34595.8471;-32520.6667;-26172.5709;-33861.3689;-20693.2425;-36557.7489;-31898.9754;-30901.0595;-14222.7262;-17886.7579;-11437.2745;-17539.1212;-16888.6408;-16984.3957;-30167.3636;-42909.3763;N;0.0;0
1733235806.242;2097788;-34572.266;-32506.1828;-26144.4747;-33836.7596;-20682.6031;-36537.3641;-31879.0153;-30884.4745;-14206.9235;-17875.9843;-11431.329;-17525.5984;-16917.2734;-16983.0546;-30143.3355;-42897.3064;N;0.0;0
1733235806.241;2097792;-34575.0824;-32502.1371;-26159.0481;-33873.7071;-20693.1755;-36540.6498;-31889.4759;-30889.6154;-14233.7009;-17887.1378;-11443.8012;-17545.6032;-16976.6396;-16999.0137;-30145.1012;-42898.9604;N;0.0;0
1733235806.245;2097796;-34613.7062;-32537.5199;-26209.1607;-33935.2861;-20728.7595;-36581.1735;-31928.9267;-30926.0488;-14284.1488;-17926.0746;-11477.3735;-17587.9821;-17004.7805;-17027.1546;-30184.7756;-42928.6659;N;0.0;0
1733235806.249;2097800;-34631.0511;-32558.8658;-26224.7622;-33934.7273;-20738.4825;-36597.8703;-31940.3484;-30942.2314;-14286.831;-17938.301;-11486.873;-17597.6604;-16967.386;-17038.7551;-30200.9359;-42946.5696;N;0.0;0
1733235806.253;2097804;-34614.1532;-32537.4529;-26187.3454;-33874.3776;-20712.4203;-36575.8762;-31917.1473;-30922.0925;-14248.8331;-17918.2515;-11469.7292;-17577.4097;-16929.3657;-17019.6667;-30187.5025;-42932.421;N;0.0;0
1733235806.272;2097808;-34614.265;-32536.5588;-26182.5845;-33868.5215;-20717.5836;-36571.9423;-31915.2027;-30920.8632;-14246.9108;-17917.2456;-11472.0762;-17579.0414;-16967.8107;-17025.5229;-30194.9903;-42931.4822;N;0.0;0
1733235806.276;2097812;-34612.3204;-32532.7143;-26198.6107;-33908.2405;-20724.0433;-36574.9374;-31919.3155;-30920.9973;-14267.3403;-17920.7548;-11472.635;-17581.5672;-17011.3966;-17032.1167;-30189.5142;-42929.4705;N;0.0;0
1733235806.28;2097816;-34599.4011;-32520.622;-26202.5893;-33928.3571;-20717.7401;-36567.986;-31916.1192;-30912.2577;-14271.9224;-17909.9143;-11455.7371;-17566.7256;-16988.419;-17012.6259;-30178.8971;-42917.2665;N;0.0;0
1733235806.284;2097820;-34605.7042;-32526.0758;-26204.668;-33914.7672;-20719.0141;-36573.6857;-31920.9695;-30919.2091;-14260.5007;-17906.6509;-11453.7254;-17562.5682;-16931.7573;-17005.1828;-30183.7921;-42920.4181;N;0.0;0
1733235806.284;2097824;-34607.6712;-32528.0204;-26183.8138;-33872.2765;-20710.7663;-36569.126;-31915.6274;-30921.5561;-14234.0809;-17900.9512;-11455.7371;-17556.0862;-16908.4221;-17011.6201;-30180.5958;-42925.3355;N;0.0;0
1733235806.288;2097828;-34610.5769;-32527.7299;-26174.9178;-33864.7217;-20717.1366;-36565.4826;-31914.6886;-30922.7183;-14236.9196;-17907.925;-11465.7953;-17564.2669;-16955.0925;-17026.0146;-30185.1332;-42929.6941;N;0.0;0
1733235806.292;2097832;-34609.2358;-32529.518;-26189.5806;-33902.3173;-20727.5078;-36567.919;-31925.8422;-30924.6182;-14264.5016;-17915.234;-11471.9421;-17575.3087;-17007.5968;-17031.4014;-30188.0389;-42930.8787;N;0.0;0
1733235806.296;2097836;-34598.6411;-32517.8728;-26198.7895;-33923.1491;-20721.9422;-36562.3534;-31922.4223;-30915.1858;-14265.1498;-17903.2087;-11459.1569;-17561.2271;-16985.3568;-17013.5424;-30174.8514;-42922.4744;N;0.0;0
1733235806.3;2097840;-34593.3884;-32516.7328;-26190.8546;-33898.0705;-20707.3241;-36557.2795;-31913.5487;-30907.0274;-14242.4405;-17890.8035;-11447.2434;-17540.7305;-16916.1335;-16991.1906;-30168.3694;-42919.7475;N;0.0;0
